Naslovi,Ocene,Število glasov,Leto izdaje,Žanr
Kaznilnica odrešitve,9.3,3100000,1994,Drama 
Boter,9.2,2200000,1972,Crime Drama 
Vitez teme,9.1,3100000,2008,Action Crime Drama 
Gospodar prstanov: Kraljeva vrnitev,9.0,2100000,2003,Adventure Drama Fantasy 
Šund,8.8,2400000,1994,Crime Drama 
Gospodar prstanov: Bratovscina prstana,8.9,2100000,2001,Adventure Drama Fantasy 
Forrest Gump,8.8,2400000,1994,Drama Romance 
Klub golih pesti,8.8,2500000,1999,Crime Drama Thriller 
Izvor,8.8,2700000,2010,Action Adventure Sci-Fi 
Matrica,8.7,2200000,1999,Action Sci-Fi 
Medzvezdje,8.7,2400000,2014,Adventure Drama Sci-Fi 
